Country,Proportion of undernourished in the population (%);1999,Proportion of undernourished in the population (%);2000,Proportion of undernourished in the population (%);2001,Proportion of undernourished in the population (%);2004,Proportion of undernourished in the population (%);2005,Proportion of undernourished in the population (%);2006,Proportion of undernourished in the population (%);2009,Proportion of undernourished in the population (%);2010,Proportion of undernourished in the population (%);2011,Proportion of undernourished in the population (%);2016,Proportion of undernourished in the population (%);2017,Proportion of undernourished in the population (%);2018,"Prevalence of wasting in
 children under five years (%);1998","Prevalence of wasting in
 children under five years (%);1999","Prevalence of wasting in
 children under five years (%);2000","Prevalence of wasting in
 children under five years (%);2001","Prevalence of wasting in
 children under five years (%);2002","Prevalence of wasting in
 children under five years (%);2003","Prevalence of wasting in
 children under five years (%);2004","Prevalence of wasting in
 children under five years (%);2005","Prevalence of wasting in
 children under five years (%);2006","Prevalence of wasting in
 children under five years (%);2007","Prevalence of wasting in
 children under five years (%);2008","Prevalence of wasting in
 children under five years (%);2009","Prevalence of wasting in
 children under five years (%);2010","Prevalence of wasting in
 children under five years (%);2011","Prevalence of wasting in
 children under five years (%);2012","Prevalence of wasting in
 children under five years (%);2014","Prevalence of wasting in
 children under five years (%);2015","Prevalence of wasting in
 children under five years (%);2016","Prevalence of wasting in
 children under five years (%);2017","Prevalence of wasting in
 children under five years (%);2018","Prevalence of stunting in
 children under five years (%);1998","Prevalence of stunting in
 children under five years (%);1999","Prevalence of stunting in
 children under five years (%);2000","Prevalence of stunting in
 children under five years (%);2001","Prevalence of stunting in
 children under five years (%);2002","Prevalence of stunting in
 children under five years (%);2003","Prevalence of stunting in
 children under five years (%);2004","Prevalence of stunting in
 children under five years (%);2005","Prevalence of stunting in
 children under five years (%);2006","Prevalence of stunting in
 children under five years (%);2007","Prevalence of stunting in
 children under five years (%);2008","Prevalence of stunting in
 children under five years (%);2009","Prevalence of stunting in
 children under five years (%);2010","Prevalence of stunting in
 children under five years (%);2011","Prevalence of stunting in
 children under five years (%);2012","Prevalence of stunting in
 children under five years (%);2014","Prevalence of stunting in
 children under five years (%);2015","Prevalence of stunting in
 children under five years (%);2016","Prevalence of stunting in
 children under five years (%);2017","Prevalence of stunting in
 children under five years (%);2018",Hunger Index;1998,Hunger Index;1999,Hunger Index;2000,Hunger Index;2001,Hunger Index;2002,Hunger Index;2003,Hunger Index;2004,Hunger Index;2005,Hunger Index;2006,Hunger Index;2007,Hunger Index;2008,Hunger Index;2009,Hunger Index;2010,Hunger Index;2011,Hunger Index;2012,Hunger Index;2014,Hunger Index;2015,Hunger Index;2016,Hunger Index;2017,Hunger Index;2018
Afghanistan,46.1,46.1,46.1,33.2,33.2,33.2,22.1,22.1,22.1,29.8,29.8,29.8,14,14,14,14,14,8.6,8.6,8.6,8.6,8.6,8.5,8.5,8.5,8.5,8.5,8.1,8.1,8.1,8.1,8.1,54,54,54,54,54,59.3,59.3,59.3,59.3,59.3,49.5,49.5,49.5,49.5,49.5,43.6,43.6,43.6,43.6,43.6,52.1,52.1,52.1,52.1,52.1,43.2,43.2,43.2,43.2,43.2,34.3,34.3,34.3,34.3,34.3,33.8,33.8,33.8,33.8,33.8
Albania,7.2,7.2,7.2,10.9,10.9,10.9,7.4,7.4,7.4,6.2,6.2,6.2,12.2,12.2,12.2,12.2,12.2,7.3,7.3,7.3,7.3,7.3,9.6,9.6,9.6,9.6,9.6,1.6,1.6,1.6,1.6,1.6,39.2,39.2,39.2,39.2,39.2,26.7,26.7,26.7,26.7,26.7,23.2,23.2,23.2,23.2,23.2,11.3,11.3,11.3,11.3,11.3,21.5,21.5,21.5,21.5,21.5,16.6,16.6,16.6,16.6,16.6,15.1,15.1,15.1,15.1,15.1,7,7,7,7,7
Algeria,10.7,10.7,10.7,8.8,8.8,8.8,6.3,6.3,6.3,3.9,3.9,3.9,3.1,3.1,3.1,3.1,3.1,4,4,4,4,4,4.2,4.2,4.2,4.2,4.2,5,5,5,5,5,23.6,23.6,23.6,23.6,23.6,15.9,15.9,15.9,15.9,15.9,12.8,12.8,12.8,12.8,12.8,15.3,15.3,15.3,15.3,15.3,15.6,15.6,15.6,15.6,15.6,12.9,12.9,12.9,12.9,12.9,10.6,10.6,10.6,10.6,10.6,10.3,10.3,10.3,10.3,10.3
Angola,71.5,71.5,71.5,54.8,54.8,54.8,40.4,40.4,40.4,25,25,25,11.9,11.9,11.9,11.9,11.9,8.2,8.2,8.2,8.2,8.2,7.2,7.2,7.2,7.2,7.2,4.9,4.9,4.9,4.9,4.9,38.2,38.2,38.2,38.2,38.2,29.2,29.2,29.2,29.2,29.2,26.2,26.2,26.2,26.2,26.2,37.6,37.6,37.6,37.6,37.6,65.1,65.1,65.1,65.1,65.1,50.3,50.3,50.3,50.3,50.3,38.6,38.6,38.6,38.6,38.6,29.8,29.8,29.8,29.8,29.8
Argentina,3.5,3.5,3.5,4.7,4.7,4.7,4,4,4,4.6,4.6,4.6,1.7,1.7,1.7,1.7,1.7,1.2,1.2,1.2,1.2,1.2,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,9.6,9.6,9.6,9.6,9.6,8.2,8.2,8.2,8.2,8.2,7.9,7.9,7.9,7.9,7.9,7.3,7.3,7.3,7.3,7.3,6.6,6.6,6.6,6.6,6.6,6.2,6.2,6.2,6.2,6.2,5.9,5.9,5.9,5.9,5.9,5.4,5.4,5.4,5.4,5.4
Armenia,23.8,23.8,23.8,7.8,7.8,7.8,5.5,5.5,5.5,4.3,4.3,4.3,2.5,2.5,2.5,2.5,2.5,5.4,5.4,5.4,5.4,5.4,4.1,4.1,4.1,4.1,4.1,4.5,4.5,4.5,4.5,4.5,17.3,17.3,17.3,17.3,17.3,17.9,17.9,17.9,17.9,17.9,20.9,20.9,20.9,20.9,20.9,9.4,9.4,9.4,9.4,9.4,18.3,18.3,18.3,18.3,18.3,12.7,12.7,12.7,12.7,12.7,11.3,11.3,11.3,11.3,11.3,7.8,7.8,7.8,7.8,7.8
Azerbaijan,23,23,23,5.5,5.5,5.5,42.5,42.5,42.5,42.5,42.5,42.5,9,9,9,9,9,6.8,6.8,6.8,6.8,6.8,6.6,6.6,6.6,6.6,6.6,3.6,3.6,3.6,3.6,3.6,24.2,24.2,24.2,24.2,24.2,26.5,26.5,26.5,26.5,26.5,16.4,16.4,16.4,16.4,16.4,11.3,11.3,11.3,11.3,11.3,27.5,27.5,27.5,27.5,27.5,17.3,17.3,17.3,17.3,17.3,12.1,12.1,12.1,12.1,12.1,7.4,7.4,7.4,7.4,7.4
Bahrain,—,—,—,—,—,—,—,—,—,—,—,—,3.2,3.2,3.2,3.2,3.2,2.7,2.7,2.7,2.7,2.7,2.3,2.3,2.3,2.3,2.3,2,2,2,2,2,2.3,2.3,2.3,2.3,2.3,2,2,2,2,2,1.7,1.7,1.7,1.7,1.7,2.3,2.3,2.3,2.3,2.3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bangladesh,20.8,20.8,20.8,16.6,16.6,16.6,16.9,16.9,16.9,14.7,14.7,14.7,12.5,12.5,12.5,12.5,12.5,11.8,11.8,11.8,11.8,11.8,15.7,15.7,15.7,15.7,15.7,14.4,14.4,14.4,14.4,14.4,51.1,51.1,51.1,51.1,51.1,45.9,45.9,45.9,45.9,45.9,41.3,41.3,41.3,41.3,41.3,36.2,36.2,36.2,36.2,36.2,36.1,36.1,36.1,36.1,36.1,30.7,30.7,30.7,30.7,30.7,30.3,30.3,30.3,30.3,30.3,25.8,25.8,25.8,25.8,25.8
Belarus,42.5,42.5,42.5,3,3,3,42.5,42.5,42.5,42.5,42.5,42.5,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,6.2,6.2,6.2,6.2,6.2,4.5,4.5,4.5,4.5,4.5,3.7,3.7,3.7,3.7,3.7,2.8,2.8,2.8,2.8,2.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Benin,22.7,22.7,22.7,15.4,15.4,15.4,11.8,11.8,11.8,10.1,10.1,10.1,9,9,9,9,9,8.5,8.5,8.5,8.5,8.5,7.3,7.3,7.3,7.3,7.3,5,5,5,5,5,36.2,36.2,36.2,36.2,36.2,43.4,43.4,43.4,43.4,43.4,35.5,35.5,35.5,35.5,35.5,32.2,32.2,32.2,32.2,32.2,36.7,36.7,36.7,36.7,36.7,33.3,33.3,33.3,33.3,33.3,28.3,28.3,28.3,28.3,28.3,24,24,24,24,24
Bhutan,—,—,—,—,—,—,—,—,—,—,—,—,2.5,2.5,2.5,2.5,2.5,6.1,6.1,6.1,6.1,6.1,5.9,5.9,5.9,5.9,5.9,4.4,4.4,4.4,4.4,4.4,47.7,47.7,47.7,47.7,47.7,41.3,41.3,41.3,41.3,41.3,33.5,33.5,33.5,33.5,33.5,26.5,26.5,26.5,26.5,26.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Bolivia,33.4,33.4,33.4,30.3,30.3,30.3,26.5,26.5,26.5,17.1,17.1,17.1,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,33.2,33.2,33.2,33.2,33.2,32.4,32.4,32.4,32.4,32.4,22.6,22.6,22.6,22.6,22.6,16.1,16.1,16.1,16.1,16.1,30.3,30.3,30.3,30.3,30.3,27.1,27.1,27.1,27.1,27.1,21.6,21.6,21.6,21.6,21.6,15.4,15.4,15.4,15.4,15.4
Bosnia & Herzegovina,4.4,4.4,4.4,3.2,3.2,3.2,42.5,42.5,42.5,42.5,42.5,42.5,7.4,7.4,7.4,7.4,7.4,4,4,4,4,4,2.3,2.3,2.3,2.3,2.3,2.8,2.8,2.8,2.8,2.8,12.1,12.1,12.1,12.1,12.1,11.8,11.8,11.8,11.8,11.8,8.9,8.9,8.9,8.9,8.9,8.5,8.5,8.5,8.5,8.5,9.8,9.8,9.8,9.8,9.8,7.2,7.2,7.2,7.2,7.2,5.1,5.1,5.1,5.1,5.1,4,4,4,4,4
Botswana,35.7,35.7,35.7,31.9,31.9,31.9,28.5,28.5,28.5,26.4,26.4,26.4,5.9,5.9,5.9,5.9,5.9,8.1,8.1,8.1,8.1,8.1,7.2,7.2,7.2,7.2,7.2,5.7,5.7,5.7,5.7,5.7,29.1,29.1,29.1,29.1,29.1,28.8,28.8,28.8,28.8,28.8,31.4,31.4,31.4,31.4,31.4,24.3,24.3,24.3,24.3,24.3,33.4,33.4,33.4,33.4,33.4,31.5,31.5,31.5,31.5,31.5,28.1,28.1,28.1,28.1,28.1,23.6,23.6,23.6,23.6,23.6
Brazil,11.9,11.9,11.9,4.6,4.6,4.6,42.5,42.5,42.5,42.5,42.5,42.5,2.4,2.4,2.4,2.4,2.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.1,2.1,2.1,2.1,2.1,9.9,9.9,9.9,9.9,9.9,7,7,7,7,7,7.4,7.4,7.4,7.4,7.4,8,8,8,8,8,12,12,12,12,12,7,7,7,7,7,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3
Bulgaria,4.8,4.8,4.8,6.5,6.5,6.5,5.6,5.6,5.6,3.6,3.6,3.6,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,2.5,2.5,2.5,2.5,2.5,10.7,10.7,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,7.4,7.4,7.4,7.4,7.4,5.3,5.3,5.3,5.3,5.3,8.2,8.2,8.2,8.2,8.2,7.8,7.8,7.8,7.8,7.8,6.9,6.9,6.9,6.9,6.9,4,4,4,4,4
Burkina Faso,25.4,25.4,25.4,24.9,24.9,24.9,21.2,21.2,21.2,20,20,20,15.6,15.6,15.6,15.6,15.6,24.4,24.4,24.4,24.4,24.4,15.5,15.5,15.5,15.5,15.5,8.6,8.6,8.6,8.6,8.6,41.4,41.4,41.4,41.4,41.4,40,40,40,40,40,34.7,34.7,34.7,34.7,34.7,21.1,21.1,21.1,21.1,21.1,46.3,46.3,46.3,46.3,46.3,48.1,48.1,48.1,48.1,48.1,36.8,36.8,36.8,36.8,36.8,25.8,25.8,25.8,25.8,25.8
Burundi,—,—,—,—,—,—,—,—,—,—,—,—,9.9,9.9,9.9,9.9,9.9,9,9,9,9,9,6,6,6,6,6,5.1,5.1,5.1,5.1,5.1,64,64,64,64,64,57.7,57.7,57.7,57.7,57.7,57.6,57.6,57.6,57.6,57.6,55.9,55.9,55.9,55.9,55.9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Cambodia,29.3,29.3,29.3,20,20,20,18.8,18.8,18.8,16.4,16.4,16.4,17.1,17.1,17.1,17.1,17.1,8.5,8.5,8.5,8.5,8.5,11,11,11,11,11,9.8,9.8,9.8,9.8,9.8,49,49,49,49,49,42.7,42.7,42.7,42.7,42.7,39.8,39.8,39.8,39.8,39.8,32.4,32.4,32.4,32.4,32.4,43.6,43.6,43.6,43.6,43.6,29.4,29.4,29.4,29.4,29.4,27.6,27.6,27.6,27.6,27.6,22.8,22.8,22.8,22.8,22.8
Cameroon,30.8,30.8,30.8,20.3,20.3,20.3,11.5,11.5,11.5,9.9,9.9,9.9,6.2,6.2,6.2,6.2,6.2,7.2,7.2,7.2,7.2,7.2,5.7,5.7,5.7,5.7,5.7,5.2,5.2,5.2,5.2,5.2,38.2,38.2,38.2,38.2,38.2,36.3,36.3,36.3,36.3,36.3,32.6,32.6,32.6,32.6,32.6,31.7,31.7,31.7,31.7,31.7,39.7,39.7,39.7,39.7,39.7,33.7,33.7,33.7,33.7,33.7,26.2,26.2,26.2,26.2,26.2,22.6,22.6,22.6,22.6,22.6
Central African Republic,42.5,42.5,42.5,39.5,39.5,39.5,32,32,32,59.6,59.6,59.6,10.4,10.4,10.4,10.4,10.4,12.6,12.6,12.6,12.6,12.6,8.3,8.3,8.3,8.3,8.3,10.6,10.6,10.6,10.6,10.6,44.4,44.4,44.4,44.4,44.4,43.1,43.1,43.1,43.1,43.1,40.7,40.7,40.7,40.7,40.7,47.4,47.4,47.4,47.4,47.4,50.7,50.7,50.7,50.7,50.7,49.5,49.5,49.5,49.5,49.5,42,42,42,42,42,53.6,53.6,53.6,53.6,53.6
Chad,40.1,40.1,40.1,39.2,39.2,39.2,40,40,40,37.5,37.5,37.5,13.9,13.9,13.9,13.9,13.9,16.2,16.2,16.2,16.2,16.2,19.4,19.4,19.4,19.4,19.4,13.3,13.3,13.3,13.3,13.3,38.9,38.9,38.9,38.9,38.9,44.4,44.4,44.4,44.4,44.4,38.7,38.7,38.7,38.7,38.7,39.8,39.8,39.8,39.8,39.8,51.5,51.5,51.5,51.5,51.5,52.1,52.1,52.1,52.1,52.1,50.9,50.9,50.9,50.9,50.9,44.2,44.2,44.2,44.2,44.2
Chile,4.7,4.7,4.7,3.9,3.9,3.9,4.2,4.2,4.2,2.7,2.7,2.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3,3,3,3,3,2.3,2.3,2.3,2.3,2.3,2,2,2,2,2,1.8,1.8,1.8,1.8,1.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
China,15.9,15.9,15.9,15.2,15.2,15.2,11.8,11.8,11.8,8.5,8.5,8.5,2.5,2.5,2.5,2.5,2.5,2.9,2.9,2.9,2.9,2.9,2.3,2.3,2.3,2.3,2.3,1.6,1.6,1.6,1.6,1.6,17.8,17.8,17.8,17.8,17.8,11.7,11.7,11.7,11.7,11.7,9.4,9.4,9.4,9.4,9.4,5.2,5.2,5.2,5.2,5.2,15.8,15.8,15.8,15.8,15.8,13,13,13,13,13,10,10,10,10,10,6.5,6.5,6.5,6.5,6.5
Colombia,9.7,9.7,9.7,9.7,9.7,9.7,11.1,11.1,11.1,4.8,4.8,4.8,1,1,1,1,1,1.6,1.6,1.6,1.6,1.6,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,18.2,18.2,18.2,18.2,18.2,16,16,16,16,16,12.6,12.6,12.6,12.6,12.6,11.6,11.6,11.6,11.6,11.6,11.3,11.3,11.3,11.3,11.3,10.8,10.8,10.8,10.8,10.8,9.9,9.9,9.9,9.9,9.9,6.7,6.7,6.7,6.7,6.7
Comoros,—,—,—,—,—,—,—,—,—,—,—,—,13.3,13.3,13.3,13.3,13.3,9.6,9.6,9.6,9.6,9.6,11.3,11.3,11.3,11.3,11.3,9.2,9.2,9.2,9.2,9.2,46.9,46.9,46.9,46.9,46.9,49.8,49.8,49.8,49.8,49.8,31.1,31.1,31.1,31.1,31.1,39.9,39.9,39.9,39.9,39.9,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Congo, Dem. Rep.",—,—,—,—,—,—,—,—,—,—,—,—,20.9,20.9,20.9,20.9,20.9,10.4,10.4,10.4,10.4,10.4,10.7,10.7,10.7,10.7,10.7,8.1,8.1,8.1,8.1,8.1,44.4,44.4,44.4,44.4,44.4,45.8,45.8,45.8,45.8,45.8,43.4,43.4,43.4,43.4,43.4,42.7,42.7,42.7,42.7,42.7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Congo, Rep.",36.8,36.8,36.8,40.2,40.2,40.2,40.5,40.5,40.5,40.3,40.3,40.3,8.3,8.3,8.3,8.3,8.3,8,8,8,8,8,6,6,6,6,6,8.2,8.2,8.2,8.2,8.2,27.3,27.3,27.3,27.3,27.3,31.2,31.2,31.2,31.2,31.2,24.4,24.4,24.4,24.4,24.4,21.2,21.2,21.2,21.2,21.2,37.3,37.3,37.3,37.3,37.3,37.1,37.1,37.1,37.1,37.1,32,32,32,32,32,31,31,31,31,31
Costa Rica,5.1,5.1,5.1,5.4,5.4,5.4,5.2,5.2,5.2,4.8,4.8,4.8,1.7,1.7,1.7,1.7,1.7,1.4,1.4,1.4,1.4,1.4,1,1,1,1,1,1.3,1.3,1.3,1.3,1.3,8.1,8.1,8.1,8.1,8.1,6,6,6,6,6,5.6,5.6,5.6,5.6,5.6,4.8,4.8,4.8,4.8,4.8,6.2,6.2,6.2,6.2,6.2,5.5,5.5,5.5,5.5,5.5,5,5,5,5,5,4,4,4,4,4
Côte d'Ivoire,20.4,20.4,20.4,20,20,20,21.9,21.9,21.9,19,19,19,6.9,6.9,6.9,6.9,6.9,9,9,9,9,9,7.6,7.6,7.6,7.6,7.6,6.1,6.1,6.1,6.1,6.1,31.2,31.2,31.2,31.2,31.2,40.5,40.5,40.5,40.5,40.5,29.9,29.9,29.9,29.9,29.9,21.6,21.6,21.6,21.6,21.6,33.8,33.8,33.8,33.8,33.8,35.3,35.3,35.3,35.3,35.3,30.9,30.9,30.9,30.9,30.9,24.9,24.9,24.9,24.9,24.9
Croatia,10.4,10.4,10.4,2.9,2.9,2.9,2.5,2.5,2.5,42.5,42.5,42.5,1.3,1.3,1.3,1.3,1.3,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.9,6.1,6.1,6.1,6.1,6.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Cuba,3.7,3.7,3.7,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,2.4,2.4,2.4,2.4,2.4,2.7,2.7,2.7,2.7,2.7,2.2,2.2,2.2,2.2,2.2,2,2,2,2,2,7,7,7,7,7,7.5,7.5,7.5,7.5,7.5,5.5,5.5,5.5,5.5,5.5,4.7,4.7,4.7,4.7,4.7,5.3,5.3,5.3,5.3,5.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Djibouti,48.1,48.1,48.1,32.2,32.2,32.2,22.3,22.3,22.3,18.9,18.9,18.9,19.4,19.4,19.4,19.4,19.4,25.4,25.4,25.4,25.4,25.4,21.6,21.6,21.6,21.6,21.6,18.4,18.4,18.4,18.4,18.4,26.8,26.8,26.8,26.8,26.8,33,33,33,33,33,33.5,33.5,33.5,33.5,33.5,28.9,28.9,28.9,28.9,28.9,46.9,46.9,46.9,46.9,46.9,43.9,43.9,43.9,43.9,43.9,36.6,36.6,36.6,36.6,36.6,30.9,30.9,30.9,30.9,30.9
Dominican Republic,28.1,28.1,28.1,24.4,24.4,24.4,16.5,16.5,16.5,9.5,9.5,9.5,1.5,1.5,1.5,1.5,1.5,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,1.5,1.5,1.5,1.5,1.5,7.7,7.7,7.7,7.7,7.7,10.5,10.5,10.5,10.5,10.5,7.5,7.5,7.5,7.5,7.5,6.4,6.4,6.4,6.4,6.4,18.3,18.3,18.3,18.3,18.3,17.2,17.2,17.2,17.2,17.2,12.8,12.8,12.8,12.8,12.8,9.2,9.2,9.2,9.2,9.2
Ecuador,18.5,18.5,18.5,17,17,17,10.7,10.7,10.7,7.9,7.9,7.9,2.7,2.7,2.7,2.7,2.7,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,1.6,1.6,1.6,1.6,1.6,27.9,27.9,27.9,27.9,27.9,27.6,27.6,27.6,27.6,27.6,24.8,24.8,24.8,24.8,24.8,23.9,23.9,23.9,23.9,23.9,18.6,18.6,18.6,18.6,18.6,17,17,17,17,17,13.2,13.2,13.2,13.2,13.2,11.3,11.3,11.3,11.3,11.3
Egypt,5.2,5.2,5.2,5.4,5.4,5.4,4.5,4.5,4.5,4.5,4.5,4.5,7,7,7,7,7,5.3,5.3,5.3,5.3,5.3,7.9,7.9,7.9,7.9,7.9,9.5,9.5,9.5,9.5,9.5,24.4,24.4,24.4,24.4,24.4,23.9,23.9,23.9,23.9,23.9,30.7,30.7,30.7,30.7,30.7,22.3,22.3,22.3,22.3,22.3,16.3,16.3,16.3,16.3,16.3,14.3,14.3,14.3,14.3,14.3,16.3,16.3,16.3,16.3,16.3,14.6,14.6,14.6,14.6,14.6
El Salvador,11,11,11,10.5,10.5,10.5,12.4,12.4,12.4,9,9,9,1.5,1.5,1.5,1.5,1.5,1.3,1.3,1.3,1.3,1.3,1.6,1.6,1.6,1.6,1.6,2.1,2.1,2.1,2.1,2.1,32.3,32.3,32.3,32.3,32.3,24.6,24.6,24.6,24.6,24.6,20.8,20.8,20.8,20.8,20.8,13.6,13.6,13.6,13.6,13.6,16.3,16.3,16.3,16.3,16.3,13.3,13.3,13.3,13.3,13.3,12.8,12.8,12.8,12.8,12.8,9.6,9.6,9.6,9.6,9.6
Equatorial Guinea,—,—,—,—,—,—,—,—,—,—,—,—,9.2,9.2,9.2,9.2,9.2,2.8,2.8,2.8,2.8,2.8,3.1,3.1,3.1,3.1,3.1,3.7,3.7,3.7,3.7,3.7,42.6,42.6,42.6,42.6,42.6,35,35,35,35,35,26.2,26.2,26.2,26.2,26.2,29.5,29.5,29.5,29.5,29.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Eritrea,—,—,—,—,—,—,—,—,—,—,—,—,15,15,15,15,15,12.8,12.8,12.8,12.8,12.8,15.3,15.3,15.3,15.3,15.3,—,—,—,—,—,43,43,43,43,43,46.5,46.5,46.5,46.5,46.5,52,52,52,52,52,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Estonia,5.6,5.6,5.6,4.2,4.2,4.2,2.6,2.6,2.6,2.9,2.9,2.9,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.2,2.2,2.2,2,2,2,2,2,2.4,2.4,2.4,2.4,2.4,3.6,3.6,3.6,3.6,3.6,3,3,3,3,3,2.9,2.9,2.9,2.9,2.9,3.4,3.4,3.4,3.4,3.4,5.6,5.6,5.6,5.6,5.6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Eswatini,19.2,19.2,19.2,17,17,17,23.2,23.2,23.2,20.6,20.6,20.6,1.7,1.7,1.7,1.7,1.7,2.9,2.9,2.9,2.9,2.9,1.1,1.1,1.1,1.1,1.1,2,2,2,2,2,36.5,36.5,36.5,36.5,36.5,29.2,29.2,29.2,29.2,29.2,30.9,30.9,30.9,30.9,30.9,25.5,25.5,25.5,25.5,25.5,29.6,29.6,29.6,29.6,29.6,27.9,27.9,27.9,27.9,27.9,26.5,26.5,26.5,26.5,26.5,20.9,20.9,20.9,20.9,20.9
Ethiopia,52,52,52,39.7,39.7,39.7,32.1,32.1,32.1,20.6,20.6,20.6,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,9.8,9.8,9.8,9.8,9.8,10,10,10,10,10,57.6,57.6,57.6,57.6,57.6,50.4,50.4,50.4,50.4,50.4,44.4,44.4,44.4,44.4,44.4,38.4,38.4,38.4,38.4,38.4,55.9,55.9,55.9,55.9,55.9,46,46,46,46,46,37.4,37.4,37.4,37.4,37.4,28.9,28.9,28.9,28.9,28.9
Fiji,4.8,4.8,4.8,4.3,4.3,4.3,4.5,4.5,4.5,3.7,3.7,3.7,7.9,7.9,7.9,7.9,7.9,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,7.1,7.1,7.1,7.1,7.1,5.7,5.7,5.7,5.7,5.7,7.5,7.5,7.5,7.5,7.5,3.9,3.9,3.9,3.9,3.9,4.4,4.4,4.4,4.4,4.4,9.9,9.9,9.9,9.9,9.9,9.3,9.3,9.3,9.3,9.3,8.6,8.6,8.6,8.6,8.6,8.9,8.9,8.9,8.9,8.9
Gabon,10.5,10.5,10.5,10.9,10.9,10.9,10.8,10.8,10.8,10.5,10.5,10.5,4.2,4.2,4.2,4.2,4.2,3.7,3.7,3.7,3.7,3.7,3.4,3.4,3.4,3.4,3.4,3.6,3.6,3.6,3.6,3.6,25.9,25.9,25.9,25.9,25.9,21.7,21.7,21.7,21.7,21.7,17,17,17,17,17,20.2,20.2,20.2,20.2,20.2,20.8,20.8,20.8,20.8,20.8,18.9,18.9,18.9,18.9,18.9,16.4,16.4,16.4,16.4,16.4,15.8,15.8,15.8,15.8,15.8
Gambia,13.1,13.1,13.1,15.1,15.1,15.1,9.3,9.3,9.3,10.2,10.2,10.2,9.1,9.1,9.1,9.1,9.1,7.4,7.4,7.4,7.4,7.4,9.7,9.7,9.7,9.7,9.7,9.4,9.4,9.4,9.4,9.4,24.1,24.1,24.1,24.1,24.1,27.7,27.7,27.7,27.7,27.7,23.4,23.4,23.4,23.4,23.4,26,26,26,26,26,27.5,27.5,27.5,27.5,27.5,26.3,26.3,26.3,26.3,26.3,22.5,22.5,22.5,22.5,22.5,21.8,21.8,21.8,21.8,21.8
Georgia,13.5,13.5,13.5,7.2,7.2,7.2,7.7,7.7,7.7,7.9,7.9,7.9,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3,1.6,1.6,1.6,1.6,1.6,4.3,4.3,4.3,4.3,4.3,16.1,16.1,16.1,16.1,16.1,14.6,14.6,14.6,14.6,14.6,11.3,11.3,11.3,11.3,11.3,10.5,10.5,10.5,10.5,10.5,14.5,14.5,14.5,14.5,14.5,10.4,10.4,10.4,10.4,10.4,8.4,8.4,8.4,8.4,8.4,9.2,9.2,9.2,9.2,9.2
