T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
96,Brunei Darussalam,2014,Gross enrollment ratio - Tertiary (female),40.0646,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Students enrolled in primary education (thousands),40.3970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Gross enrollement ratio - Primary (male),105.5494,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Gross enrollment ratio - Primary (female),104.6812,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Students enrolled in secondary education (thousands),47.2490,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Gross enrollment ratio - Secondary (male),95.6348,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Gross enrollment ratio - Secondary (female),96.0395,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Students enrolled in tertiary education (thousands),10.8660,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Gross enrollment ratio - Tertiary (male),23.4643,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2015,Gross enrollment ratio - Tertiary (female),38.6018,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Students enrolled in primary education (thousands),39.6100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Gross enrollement ratio - Primary (male),105.2637,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Gross enrollment ratio - Primary (female),104.2693,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Students enrolled in secondary education (thousands),44.4640,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Gross enrollment ratio - Secondary (male),91.5069,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Gross enrollment ratio - Secondary (female),93.0169,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Students enrolled in tertiary education (thousands),11.5930,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Gross enrollment ratio - Tertiary (male),25.9188,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
96,Brunei Darussalam,2017,Gross enrollment ratio - Tertiary (female),40.3298,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Students enrolled in primary education (thousands),290.0170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Gross enrollement ratio - Primary (male),103.8104,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Gross enrollment ratio - Primary (female),102.7672,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Students enrolled in secondary education (thousands),685.6400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Gross enrollment ratio - Secondary (male),91.0377,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Gross enrollment ratio - Secondary (female),87.3359,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Students enrolled in tertiary education (thousands),237.9090,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Gross enrollment ratio - Tertiary (male),42.1008,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2005,Gross enrollment ratio - Tertiary (female),48.8634,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Students enrolled in primary education (thousands),260.3400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Gross enrollement ratio - Primary (male),108.7088,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Gross enrollment ratio - Primary (female),108.3474,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Students enrolled in secondary education (thousands),531.9800,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Gross enrollment ratio - Secondary (male),92.0819,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Gross enrollment ratio - Secondary (female),88.2122,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Students enrolled in tertiary education (thousands),287.0860,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Gross enrollment ratio - Tertiary (male),49.9603,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2010,Gross enrollment ratio - Tertiary (female),66.1041,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Students enrolled in primary education (thousands),258.8400,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Gross enrollement ratio - Primary (male),98.9184,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Gross enrollment ratio - Primary (female),98.1427,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Students enrolled in secondary education (thousands),518.9140,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Gross enrollment ratio - Secondary (male),105.9292,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Gross enrollment ratio - Secondary (female),102.2903,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Students enrolled in tertiary education (thousands),283.2940,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Gross enrollment ratio - Tertiary (male),60.0050,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2014,Gross enrollment ratio - Tertiary (female),75.5946,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Students enrolled in primary education (thousands),261.7930,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Gross enrollement ratio - Primary (male),97.5624,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Gross enrollment ratio - Primary (female),96.5487,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Students enrolled in secondary education (thousands),501.3980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Gross enrollment ratio - Secondary (male),103.9667,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Gross enrollment ratio - Secondary (female),100.6227,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Students enrolled in tertiary education (thousands),278.9530,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Gross enrollment ratio - Tertiary (male),61.9945,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2015,Gross enrollment ratio - Tertiary (female),79.1390,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Students enrolled in primary education (thousands),261.9690,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Gross enrollement ratio - Primary (male),95.3457,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Gross enrollment ratio - Primary (female),94.3216,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Students enrolled in secondary education (thousands),487.0870,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Gross enrollment ratio - Secondary (male),101.4179,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Gross enrollment ratio - Secondary (female),98.2892,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Students enrolled in tertiary education (thousands),266.7070,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Gross enrollment ratio - Tertiary (male),63.6621,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
100,Bulgaria,2016,Gross enrollment ratio - Tertiary (female),79.2831,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Students enrolled in primary education (thousands),"1,270.8370",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Gross enrollement ratio - Primary (male),64.6491,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Gross enrollment ratio - Primary (female),51.8041,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Students enrolled in secondary education (thousands),295.4120,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Gross enrollment ratio - Secondary (male),16.7062,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Gross enrollment ratio - Secondary (female),11.8204,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Students enrolled in tertiary education (thousands),27.9420,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Gross enrollment ratio - Tertiary (male),3.1694,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2005,Gross enrollment ratio - Tertiary (female),1.4304,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Students enrolled in primary education (thousands),"2,047.6300",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Gross enrollement ratio - Primary (male),81.6177,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Gross enrollment ratio - Primary (female),74.2818,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Students enrolled in secondary education (thousands),537.9880,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Gross enrollment ratio - Secondary (male),24.7844,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Gross enrollment ratio - Secondary (female),18.9252,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Students enrolled in tertiary education (thousands),51.1660,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Gross enrollment ratio - Tertiary (male),4.8193,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2010,Gross enrollment ratio - Tertiary (female),2.3087,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Students enrolled in primary education (thousands),"2,594.0240",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Gross enrollement ratio - Primary (male),88.4546,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Gross enrollment ratio - Primary (female),86.1800,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Students enrolled in secondary education (thousands),841.8860,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Gross enrollment ratio - Secondary (male),32.3686,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Gross enrollment ratio - Secondary (female),28.2670,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Students enrolled in tertiary education (thousands),81.3140,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Gross enrollment ratio - Tertiary (male),6.8011,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2014,Gross enrollment ratio - Tertiary (female),3.3047,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Students enrolled in primary education (thousands),"2,706.8030",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Gross enrollement ratio - Primary (male),89.4895,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Gross enrollment ratio - Primary (female),87.2017,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Students enrolled in secondary education (thousands),965.5500,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Gross enrollment ratio - Secondary (male),35.0669,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Gross enrollment ratio - Secondary (female),32.3206,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Students enrolled in tertiary education (thousands),83.5980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Gross enrollment ratio - Tertiary (male),6.6216,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2015,Gross enrollment ratio - Tertiary (female),3.4613,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Students enrolled in primary education (thousands),"3,040.8020",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Gross enrollement ratio - Primary (male),94.3526,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Gross enrollment ratio - Primary (female),92.9284,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Students enrolled in secondary education (thousands),"1,162.2970",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Gross enrollment ratio - Secondary (male),38.6336,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Gross enrollment ratio - Secondary (female),37.5807,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Students enrolled in tertiary education (thousands),105.4040,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Gross enrollment ratio - Tertiary (male),7.8560,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
854,Burkina Faso,2017,Gross enrollment ratio - Tertiary (female),4.0947,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Students enrolled in primary education (thousands),"1,036.8590",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Gross enrollement ratio - Primary (male),89.6629,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Gross enrollment ratio - Primary (female),75.3754,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Students enrolled in secondary education (thousands),171.1100,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Gross enrollment ratio - Secondary (male),15.7818,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Gross enrollment ratio - Secondary (female),11.2473,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Students enrolled in tertiary education (thousands),16.9150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Gross enrollment ratio - Tertiary (male),3.6719,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2005,Gross enrollment ratio - Tertiary (female),1.3707,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Students enrolled in primary education (thousands),"1,849.8610",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Gross enrollement ratio - Primary (male),141.7902,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Gross enrollment ratio - Primary (female),136.9570,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Students enrolled in secondary education (thousands),337.5770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Gross enrollment ratio - Secondary (male),28.6535,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Gross enrollment ratio - Secondary (female),19.4722,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Students enrolled in tertiary education (thousands),29.2690,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Gross enrollment ratio - Tertiary (male),4.6364,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2010,Gross enrollment ratio - Tertiary (female),2.3164,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Students enrolled in primary education (thousands),"2,046.7940",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Gross enrollement ratio - Primary (male),137.1449,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Gross enrollment ratio - Primary (female),138.6407,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Students enrolled in secondary education (thousands),583.3080,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Gross enrollment ratio - Secondary (male),43.5340,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Gross enrollment ratio - Secondary (female),36.7538,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Students enrolled in tertiary education (thousands),51.2250,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
108,Burundi,2014,Gross enrollment ratio - Tertiary (male),8.2870,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
