T11,Expenditure on health,,,,,
218,Ecuador,2010,Domestic general government health expenditure (% of total government expenditure),9.2046,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
218,Ecuador,2014,Domestic general government health expenditure (% of total government expenditure),10.2048,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
218,Ecuador,2015,Domestic general government health expenditure (% of total government expenditure),10.8498,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
218,Ecuador,2016,Domestic general government health expenditure (% of total government expenditure),10.9859,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2000,Current health expenditure (% of GDP),4.9224,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2005,Current health expenditure (% of GDP),4.9223,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2010,Current health expenditure (% of GDP),4.1532,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2014,Current health expenditure (% of GDP),4.6917,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2015,Current health expenditure (% of GDP),4.6229,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2016,Current health expenditure (% of GDP),4.6378,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2000,Domestic general government health expenditure (% of total government expenditure),6.6637,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2005,Domestic general government health expenditure (% of total government expenditure),5.2435,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2010,Domestic general government health expenditure (% of total government expenditure),4.3616,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2014,Domestic general government health expenditure (% of total government expenditure),4.1615,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2015,Domestic general government health expenditure (% of total government expenditure),4.9624,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
818,Egypt,2016,Domestic general government health expenditure (% of total government expenditure),4.2185,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2000,Current health expenditure (% of GDP),8.1240,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2005,Current health expenditure (% of GDP),7.1897,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2010,Current health expenditure (% of GDP),6.9147,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2014,Current health expenditure (% of GDP),6.9251,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2015,Current health expenditure (% of GDP),6.8641,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2016,Current health expenditure (% of GDP),6.9578,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2000,Domestic general government health expenditure (% of total government expenditure),18.4420,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2005,Domestic general government health expenditure (% of total government expenditure),19.6109,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2010,Domestic general government health expenditure (% of total government expenditure),17.7056,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2014,Domestic general government health expenditure (% of total government expenditure),20.1193,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2015,Domestic general government health expenditure (% of total government expenditure),20.8333,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
222,El Salvador,2016,Domestic general government health expenditure (% of total government expenditure),20.9298,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2000,Current health expenditure (% of GDP),2.3596,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2005,Current health expenditure (% of GDP),1.4010,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2010,Current health expenditure (% of GDP),1.5319,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2014,Current health expenditure (% of GDP),1.7764,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2015,Current health expenditure (% of GDP),2.7082,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2016,Current health expenditure (% of GDP),3.3765,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2000,Domestic general government health expenditure (% of total government expenditure),2.4569,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2005,Domestic general government health expenditure (% of total government expenditure),2.1397,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2010,Domestic general government health expenditure (% of total government expenditure),1.0180,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2014,Domestic general government health expenditure (% of total government expenditure),1.3077,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2015,Domestic general government health expenditure (% of total government expenditure),1.4105,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
226,Equatorial Guinea,2016,Domestic general government health expenditure (% of total government expenditure),2.5862,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2000,Current health expenditure (% of GDP),4.5115,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2005,Current health expenditure (% of GDP),5.3124,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2010,Current health expenditure (% of GDP),3.4459,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2014,Current health expenditure (% of GDP),2.9316,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2015,Current health expenditure (% of GDP),2.9658,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2016,Current health expenditure (% of GDP),2.9593,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2000,Domestic general government health expenditure (% of total government expenditure),2.1420,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2005,Domestic general government health expenditure (% of total government expenditure),1.1483,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2010,Domestic general government health expenditure (% of total government expenditure),1.5076,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2014,Domestic general government health expenditure (% of total government expenditure),1.1279,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2015,Domestic general government health expenditure (% of total government expenditure),1.2096,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
232,Eritrea,2016,Domestic general government health expenditure (% of total government expenditure),2.9195,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2000,Current health expenditure (% of GDP),5.1645,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2005,Current health expenditure (% of GDP),4.9559,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2010,Current health expenditure (% of GDP),6.3337,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2014,Current health expenditure (% of GDP),6.2080,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2015,Current health expenditure (% of GDP),6.4818,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2016,Current health expenditure (% of GDP),6.6837,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2000,Domestic general government health expenditure (% of total government expenditure),10.7776,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2005,Domestic general government health expenditure (% of total government expenditure),11.0940,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2010,Domestic general government health expenditure (% of total government expenditure),11.5998,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2014,Domestic general government health expenditure (% of total government expenditure),12.1741,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2015,Domestic general government health expenditure (% of total government expenditure),12.1405,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
233,Estonia,2016,Domestic general government health expenditure (% of total government expenditure),12.4074,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2000,Current health expenditure (% of GDP),4.4605,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2005,Current health expenditure (% of GDP),5.6226,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2010,Current health expenditure (% of GDP),8.3618,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2014,Current health expenditure (% of GDP),7.5908,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2015,Current health expenditure (% of GDP),7.7721,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2016,Current health expenditure (% of GDP),7.6969,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2000,Domestic general government health expenditure (% of total government expenditure),10.5086,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2005,Domestic general government health expenditure (% of total government expenditure),12.6123,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2010,Domestic general government health expenditure (% of total government expenditure),18.8477,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2014,Domestic general government health expenditure (% of total government expenditure),13.7158,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2015,Domestic general government health expenditure (% of total government expenditure),14.8978,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
748,Eswatini,2016,Domestic general government health expenditure (% of total government expenditure),15.2310,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2000,Current health expenditure (% of GDP),4.3653,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2005,Current health expenditure (% of GDP),4.1010,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2010,Current health expenditure (% of GDP),5.4664,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2014,Current health expenditure (% of GDP),4.0337,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2015,Current health expenditure (% of GDP),3.9759,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2016,Current health expenditure (% of GDP),3.9740,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2000,Domestic general government health expenditure (% of total government expenditure),7.0303,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2005,Domestic general government health expenditure (% of total government expenditure),7.5518,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2010,Domestic general government health expenditure (% of total government expenditure),5.0879,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2014,Domestic general government health expenditure (% of total government expenditure),4.0883,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2015,Domestic general government health expenditure (% of total government expenditure),5.9144,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
231,Ethiopia,2016,Domestic general government health expenditure (% of total government expenditure),6.0220,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2000,Current health expenditure (% of GDP),3.7226,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2005,Current health expenditure (% of GDP),3.5590,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2010,Current health expenditure (% of GDP),3.7014,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2014,Current health expenditure (% of GDP),3.6493,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2015,Current health expenditure (% of GDP),3.5689,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2016,Current health expenditure (% of GDP),3.4615,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2000,Domestic general government health expenditure (% of total government expenditure),10.5880,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2005,Domestic general government health expenditure (% of total government expenditure),10.3595,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2010,Domestic general government health expenditure (% of total government expenditure),8.5877,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2014,Domestic general government health expenditure (% of total government expenditure),7.1043,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2015,Domestic general government health expenditure (% of total government expenditure),7.0442,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
242,Fiji,2016,Domestic general government health expenditure (% of total government expenditure),7.6616,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2000,Current health expenditure (% of GDP),6.8365,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2005,Current health expenditure (% of GDP),7.9979,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2010,Current health expenditure (% of GDP),8.8687,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2014,Current health expenditure (% of GDP),9.4800,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2015,Current health expenditure (% of GDP),9.7429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2016,Current health expenditure (% of GDP),9.4931,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2000,Domestic general government health expenditure (% of total government expenditure),10.5402,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2005,Domestic general government health expenditure (% of total government expenditure),12.7360,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2010,Domestic general government health expenditure (% of total government expenditure),12.5064,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2014,Domestic general government health expenditure (% of total government expenditure),12.7037,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2015,Domestic general government health expenditure (% of total government expenditure),13.2616,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
246,Finland,2016,Domestic general government health expenditure (% of total government expenditure),13.1170,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2000,Current health expenditure (% of GDP),9.5411,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2005,Current health expenditure (% of GDP),10.1798,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2010,Current health expenditure (% of GDP),11.1792,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2014,Current health expenditure (% of GDP),11.5950,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2015,Current health expenditure (% of GDP),11.5014,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2016,Current health expenditure (% of GDP),11.5393,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2000,Domestic general government health expenditure (% of total government expenditure),14.7200,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2005,Domestic general government health expenditure (% of total government expenditure),15.1480,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2010,Domestic general government health expenditure (% of total government expenditure),15.1169,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2014,Domestic general government health expenditure (% of total government expenditure),15.5401,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2015,Domestic general government health expenditure (% of total government expenditure),15.5434,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
250,France,2016,Domestic general government health expenditure (% of total government expenditure),16.9686,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2000,Current health expenditure (% of GDP),2.9054,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2005,Current health expenditure (% of GDP),2.9341,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2010,Current health expenditure (% of GDP),2.4756,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2014,Current health expenditure (% of GDP),2.5328,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2015,Current health expenditure (% of GDP),2.6574,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2016,Current health expenditure (% of GDP),3.1129,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2000,Domestic general government health expenditure (% of total government expenditure),5.2413,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2005,Domestic general government health expenditure (% of total government expenditure),5.0768,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2010,Domestic general government health expenditure (% of total government expenditure),6.8134,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2014,Domestic general government health expenditure (% of total government expenditure),6.3846,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2015,Domestic general government health expenditure (% of total government expenditure),7.0349,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
266,Gabon,2016,Domestic general government health expenditure (% of total government expenditure),9.2026,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2000,Current health expenditure (% of GDP),4.6657,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2005,Current health expenditure (% of GDP),4.9078,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2010,Current health expenditure (% of GDP),5.7396,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2014,Current health expenditure (% of GDP),5.2987,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2015,Current health expenditure (% of GDP),4.7615,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2016,Current health expenditure (% of GDP),4.4315,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2000,Domestic general government health expenditure (% of total government expenditure),6.9182,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2005,Domestic general government health expenditure (% of total government expenditure),10.2326,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2010,Domestic general government health expenditure (% of total government expenditure),7.8139,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2014,Domestic general government health expenditure (% of total government expenditure),4.0553,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2015,Domestic general government health expenditure (% of total government expenditure),2.7588,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
270,Gambia,2016,Domestic general government health expenditure (% of total government expenditure),2.7624,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2000,Current health expenditure (% of GDP),7.3970,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2005,Current health expenditure (% of GDP),8.3039,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2010,Current health expenditure (% of GDP),9.5454,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2014,Current health expenditure (% of GDP),8.4357,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2015,Current health expenditure (% of GDP),7.9324,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2016,Current health expenditure (% of GDP),8.4361,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2000,Domestic general government health expenditure (% of total government expenditure),4.8525,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2005,Domestic general government health expenditure (% of total government expenditure),5.5771,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2010,Domestic general government health expenditure (% of total government expenditure),6.1534,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2014,Domestic general government health expenditure (% of total government expenditure),7.7796,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2015,Domestic general government health expenditure (% of total government expenditure),9.5979,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
268,Georgia,2016,Domestic general government health expenditure (% of total government expenditure),10.2872,"As a result of recent health-care reforms, public compulsory insurance has since 2008 been implemented by private insurance companies. The voucher cost of this insurance is treated as general government health expenditure.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2000,Current health expenditure (% of GDP),9.8275,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2005,Current health expenditure (% of GDP),10.2253,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2010,Current health expenditure (% of GDP),11.0040,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2014,Current health expenditure (% of GDP),10.9574,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2015,Current health expenditure (% of GDP),11.0791,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2016,Current health expenditure (% of GDP),11.1392,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2000,Domestic general government health expenditure (% of total government expenditure),17.2086,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2005,Domestic general government health expenditure (% of total government expenditure),16.7818,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2010,Domestic general government health expenditure (% of total government expenditure),19.4114,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2014,Domestic general government health expenditure (% of total government expenditure),20.8820,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2015,Domestic general government health expenditure (% of total government expenditure),21.3047,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
276,Germany,2016,Domestic general government health expenditure (% of total government expenditure),21.3556,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2000,Current health expenditure (% of GDP),3.9664,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
288,Ghana,2005,Current health expenditure (% of GDP),5.3295,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2018."
