T06,"Ratio of girls to boys in primary, secondary and tertiary education",,,,,
4,Afghanistan,2005,Ratio of girls to boys in secondary education,0.3252,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
4,Afghanistan,2010,Ratio of girls to boys in secondary education,0.4996,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
4,Afghanistan,2015,Ratio of girls to boys in secondary education,0.5637,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
4,Afghanistan,2016,Ratio of girls to boys in secondary education,0.5878,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
4,Afghanistan,2017,Ratio of girls to boys in secondary education,0.5734,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,1985,Ratio of girls to boys in primary education,0.9835,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,1995,Ratio of girls to boys in primary education,0.9570,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2005,Ratio of girls to boys in primary education,0.9901,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2010,Ratio of girls to boys in primary education,0.9825,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2015,Ratio of girls to boys in primary education,0.9731,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Ratio of girls to boys in primary education,0.9749,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2017,Ratio of girls to boys in primary education,0.9738,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,1985,Ratio of girls to boys in secondary education,0.9125,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,1995,Ratio of girls to boys in secondary education,0.9839,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2005,Ratio of girls to boys in secondary education,0.9524,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2010,Ratio of girls to boys in secondary education,0.9896,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2015,Ratio of girls to boys in secondary education,0.9269,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Ratio of girls to boys in secondary education,0.9300,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2017,Ratio of girls to boys in secondary education,0.9405,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,1985,Ratio of girls to boys in tertiary education,0.8575,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,1995,Ratio of girls to boys in tertiary education,1.0760,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2005,Ratio of girls to boys in tertiary education,1.4246,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2010,Ratio of girls to boys in tertiary education,1.3380,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2015,Ratio of girls to boys in tertiary education,1.5305,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Ratio of girls to boys in tertiary education,1.5782,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2017,Ratio of girls to boys in tertiary education,1.5946,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,1985,Ratio of girls to boys in primary education,0.7870,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,1995,Ratio of girls to boys in primary education,0.8830,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2005,Ratio of girls to boys in primary education,0.9244,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2010,Ratio of girls to boys in primary education,0.9369,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2015,Ratio of girls to boys in primary education,0.9515,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2016,Ratio of girls to boys in primary education,0.9489,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2017,Ratio of girls to boys in primary education,0.9501,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,1985,Ratio of girls to boys in secondary education,0.7263,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,1995,Ratio of girls to boys in secondary education,0.8852,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2005,Ratio of girls to boys in secondary education,1.0953,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2010,Ratio of girls to boys in secondary education,1.0354,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2005,Ratio of girls to boys in tertiary education,1.2787,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2010,Ratio of girls to boys in tertiary education,1.4436,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2015,Ratio of girls to boys in tertiary education,1.5635,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2016,Ratio of girls to boys in tertiary education,1.6712,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2017,Ratio of girls to boys in tertiary education,1.4892,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2010,Ratio of girls to boys in primary education,0.7890,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2015,Ratio of girls to boys in primary education,0.8647,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2010,Ratio of girls to boys in secondary education,0.6656,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2016,Ratio of girls to boys in secondary education,0.6344,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2015,Ratio of girls to boys in tertiary education,0.7699,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2016,Ratio of girls to boys in tertiary education,0.8097,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2010,Ratio of girls to boys in primary education,0.9156,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2015,Ratio of girls to boys in primary education,0.9434,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2017,Ratio of girls to boys in primary education,0.9651,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2010,Ratio of girls to boys in secondary education,1.0124,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2015,Ratio of girls to boys in secondary education,1.0209,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2017,Ratio of girls to boys in secondary education,0.9589,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2010,Ratio of girls to boys in tertiary education,2.5285,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,1985,Ratio of girls to boys in primary education,0.9962,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Ratio of girls to boys in primary education,0.9906,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2010,Ratio of girls to boys in primary education,0.9861,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2015,Ratio of girls to boys in primary education,0.9967,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2016,Ratio of girls to boys in primary education,0.9954,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,1985,Ratio of girls to boys in secondary education,1.1153,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Ratio of girls to boys in secondary education,1.0960,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2010,Ratio of girls to boys in secondary education,1.0979,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2015,Ratio of girls to boys in secondary education,1.0594,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2016,Ratio of girls to boys in secondary education,1.0441,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,1985,Ratio of girls to boys in tertiary education,1.1147,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2005,Ratio of girls to boys in tertiary education,1.4563,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2010,Ratio of girls to boys in tertiary education,1.5077,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2015,Ratio of girls to boys in tertiary education,1.6369,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
32,Argentina,2016,Ratio of girls to boys in tertiary education,1.6609,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,1995,Ratio of girls to boys in primary education,1.0233,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2005,Ratio of girls to boys in primary education,1.0183,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2010,Ratio of girls to boys in primary education,1.0314,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2015,Ratio of girls to boys in primary education,1.0151,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2016,Ratio of girls to boys in primary education,1.0089,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2017,Ratio of girls to boys in primary education,1.0033,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2010,Ratio of girls to boys in secondary education,0.9823,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2015,Ratio of girls to boys in secondary education,1.0515,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2005,Ratio of girls to boys in tertiary education,1.3989,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2010,Ratio of girls to boys in tertiary education,1.2193,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2015,Ratio of girls to boys in tertiary education,1.1916,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2016,Ratio of girls to boys in tertiary education,1.2688,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
51,Armenia,2017,Ratio of girls to boys in tertiary education,1.2741,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2005,Ratio of girls to boys in primary education,0.9380,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2010,Ratio of girls to boys in primary education,0.9870,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2005,Ratio of girls to boys in secondary education,1.0036,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2010,Ratio of girls to boys in secondary education,1.0518,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2005,Ratio of girls to boys in tertiary education,1.4402,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2010,Ratio of girls to boys in tertiary education,1.4124,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2015,Ratio of girls to boys in tertiary education,2.2636,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
533,Aruba,2016,Ratio of girls to boys in tertiary education,1.9403,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,1985,Ratio of girls to boys in primary education,0.9925,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,1995,Ratio of girls to boys in primary education,0.9957,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2005,Ratio of girls to boys in primary education,1.0152,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2010,Ratio of girls to boys in primary education,0.9982,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2015,Ratio of girls to boys in primary education,1.0001,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2016,Ratio of girls to boys in primary education,0.9996,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2017,Ratio of girls to boys in primary education,0.9997,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,1995,Ratio of girls to boys in secondary education,0.9962,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2015,Ratio of girls to boys in secondary education,0.8692,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2016,Ratio of girls to boys in secondary education,0.8673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2017,Ratio of girls to boys in secondary education,0.8873,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,1985,Ratio of girls to boys in tertiary education,0.9450,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,1995,Ratio of girls to boys in tertiary education,1.0450,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2015,Ratio of girls to boys in tertiary education,1.4451,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2016,Ratio of girls to boys in tertiary education,1.4301,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
36,Australia,2017,Ratio of girls to boys in tertiary education,1.4210,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,1985,Ratio of girls to boys in primary education,0.9944,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,1995,Ratio of girls to boys in primary education,0.9911,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2005,Ratio of girls to boys in primary education,0.9985,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2010,Ratio of girls to boys in primary education,0.9870,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2015,Ratio of girls to boys in primary education,0.9915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2016,Ratio of girls to boys in primary education,0.9949,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,Ratio of girls to boys in primary education,0.9954,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,1985,Ratio of girls to boys in secondary education,0.9277,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,1995,Ratio of girls to boys in secondary education,0.9391,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2005,Ratio of girls to boys in secondary education,0.9516,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2010,Ratio of girls to boys in secondary education,0.9607,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2015,Ratio of girls to boys in secondary education,0.9649,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2016,Ratio of girls to boys in secondary education,0.9612,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,Ratio of girls to boys in secondary education,0.9556,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,1985,Ratio of girls to boys in tertiary education,0.8422,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,1995,Ratio of girls to boys in tertiary education,0.9429,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2015,Ratio of girls to boys in tertiary education,1.1936,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2016,Ratio of girls to boys in tertiary education,1.1881,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
40,Austria,2017,Ratio of girls to boys in tertiary education,1.1797,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,1995,Ratio of girls to boys in primary education,1.1244,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2005,Ratio of girls to boys in primary education,0.9451,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,Ratio of girls to boys in primary education,0.9895,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,Ratio of girls to boys in primary education,0.9832,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2016,Ratio of girls to boys in primary education,0.9901,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,Ratio of girls to boys in primary education,1.0163,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,1995,Ratio of girls to boys in secondary education,1.0205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,1995,Ratio of girls to boys in tertiary education,0.8770,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2010,Ratio of girls to boys in tertiary education,0.9894,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2015,Ratio of girls to boys in tertiary education,1.1623,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2016,Ratio of girls to boys in tertiary education,1.1775,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
31,Azerbaijan,2017,Ratio of girls to boys in tertiary education,1.1489,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,1985,Ratio of girls to boys in primary education,1.0089,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
44,Bahamas,1995,Ratio of girls to boys in primary education,1.0037,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
