T04,International migrants and refugees,,,,,
143,Central Asia,2005,International migrant stock: Male (% total Population),8.3142,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2005,International migrant stock: Female (% total Population),9.5069,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2010,International migrant stock: Both sexes (number),5262414.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2010,International migrant stock: Both sexes (% total population),8.3323,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2010,International migrant stock: Male (% total Population),7.9788,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2010,International migrant stock: Female (% total Population),8.6773,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2015,International migrant stock: Both sexes (number),5393504.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2015,International migrant stock: Both sexes (% total population),7.8502,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2015,International migrant stock: Male (% total Population),7.6430,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2015,International migrant stock: Female (% total Population),8.0529,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2017,International migrant stock: Both sexes (number),5462972.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2017,International migrant stock: Both sexes (% total population),7.7117,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2017,International migrant stock: Male (% total Population),7.5118,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
143,Central Asia,2017,International migrant stock: Female (% total Population),7.9074,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2005,International migrant stock: Both sexes (number),6229524.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2005,International migrant stock: Both sexes (% total population),0.4006,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2005,International migrant stock: Male (% total Population),0.3688,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2005,International migrant stock: Female (% total Population),0.4338,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2010,International migrant stock: Both sexes (number),7061814.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2010,International migrant stock: Both sexes (% total population),0.4425,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2010,International migrant stock: Male (% total Population),0.4066,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2010,International migrant stock: Female (% total Population),0.4801,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2015,International migrant stock: Both sexes (number),7600768.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2015,International migrant stock: Both sexes (% total population),0.4648,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2015,International migrant stock: Male (% total Population),0.4252,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2015,International migrant stock: Female (% total Population),0.5064,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2017,International migrant stock: Both sexes (number),7776716.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2017,International migrant stock: Both sexes (% total population),0.4718,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2017,International migrant stock: Male (% total Population),0.4315,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
30,Eastern Asia,2017,International migrant stock: Female (% total Population),0.5142,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2005,International migrant stock: Both sexes (number),6522343.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2005,International migrant stock: Both sexes (% total population),1.1610,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2005,International migrant stock: Male (% total Population),1.1945,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2005,International migrant stock: Female (% total Population),1.1278,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2010,International migrant stock: Both sexes (number),8673693.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2010,International migrant stock: Both sexes (% total population),1.4521,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2010,International migrant stock: Male (% total Population),1.5083,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2010,International migrant stock: Female (% total Population),1.3959,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2015,International migrant stock: Both sexes (number),9609923.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2015,International migrant stock: Both sexes (% total population),1.5143,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2015,International migrant stock: Male (% total Population),1.5746,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2015,International migrant stock: Female (% total Population),1.4541,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2017,International migrant stock: Both sexes (number),9873600.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2017,International migrant stock: Both sexes (% total population),1.5219,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2017,International migrant stock: Male (% total Population),1.5823,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
35,South-eastern Asia,2017,International migrant stock: Female (% total Population),1.4616,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2005,International migrant stock: Both sexes (number),13722011.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2005,International migrant stock: Both sexes (% total population),0.8668,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2005,International migrant stock: Male (% total Population),0.8751,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2005,International migrant stock: Female (% total Population),0.8579,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2010,International migrant stock: Both sexes (number),14307646.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2010,International migrant stock: Both sexes (% total population),0.8390,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2010,International migrant stock: Male (% total Population),0.8523,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2010,International migrant stock: Female (% total Population),0.8248,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2015,International migrant stock: Both sexes (number),14173830.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2015,International migrant stock: Both sexes (% total population),0.7774,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2015,International migrant stock: Male (% total Population),0.7730,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2015,International migrant stock: Female (% total Population),0.7820,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2017,International migrant stock: Both sexes (number),13582402.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2017,International migrant stock: Both sexes (% total population),0.7267,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2017,International migrant stock: Male (% total Population),0.7239,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
34,Southern Asia,2017,International migrant stock: Female (% total Population),0.7297,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2005,International migrant stock: Both sexes (number),21531153.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2005,International migrant stock: Both sexes (% total population),10.4657,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2005,International migrant stock: Male (% total Population),12.6151,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2005,International migrant stock: Female (% total Population),8.2031,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2010,International migrant stock: Both sexes (number),30616221.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2010,International migrant stock: Both sexes (% total population),13.1548,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2010,International migrant stock: Male (% total Population),16.5134,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2010,International migrant stock: Female (% total Population),9.5242,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2015,International migrant stock: Both sexes (number),39780127.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2015,International migrant stock: Both sexes (% total population),15.4113,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2015,International migrant stock: Male (% total Population),18.9035,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2015,International migrant stock: Female (% total Population),11.5992,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2017,International migrant stock: Both sexes (number),42891019.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2017,International migrant stock: Both sexes (% total population),16.0245,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2017,International migrant stock: Male (% total Population),19.6454,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
145,Western Asia,2017,International migrant stock: Female (% total Population),12.0583,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2005,International migrant stock: Both sexes (number),63201280.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2005,International migrant stock: Both sexes (% total population),8.6543,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2005,International migrant stock: Male (% total Population),8.6908,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2005,International migrant stock: Female (% total Population),8.6279,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2010,International migrant stock: Both sexes (number),70747947.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2010,International migrant stock: Both sexes (% total population),9.5973,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2010,International migrant stock: Male (% total Population),9.5929,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2010,International migrant stock: Female (% total Population),9.6102,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2015,International migrant stock: Both sexes (number),74501508.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2015,International migrant stock: Both sexes (% total population),10.0567,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2015,International migrant stock: Male (% total Population),9.9797,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2015,International migrant stock: Female (% total Population),10.1379,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2015,Total refugees and people in refugee-like situations (number),1626214.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2015,"Asylum seekers, including pending cases (number)",678737.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2015,Other of concern to UNHCR (number),2368815.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2015,Total population of concern to UNHCR (number),4673766.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2017,International migrant stock: Both sexes (number),77895217.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2017,International migrant stock: Both sexes (% total population),10.4970,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2017,International migrant stock: Male (% total Population),10.4321,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2017,International migrant stock: Female (% total Population),10.5674,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
150,Europe,2017,Total refugees and people in refugee-like situations (number),2508981.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2017,"Asylum seekers, including pending cases (number)",983967.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2017,Other of concern to UNHCR (number),2751063.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2017,Total population of concern to UNHCR (number),6244011.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2018,Total refugees and people in refugee-like situations (number),2715811.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2018,"Asylum seekers, including pending cases (number)",907165.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2018,Other of concern to UNHCR (number),2726732.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
150,Europe,2018,Total population of concern to UNHCR (number),6349708.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
151,Eastern Europe,2005,International migrant stock: Both sexes (number),19747392.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2005,International migrant stock: Both sexes (% total population),6.6375,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2005,International migrant stock: Male (% total Population),6.6769,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2005,International migrant stock: Female (% total Population),6.6025,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2010,International migrant stock: Both sexes (number),19127781.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2010,International migrant stock: Both sexes (% total population),6.4941,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2010,International migrant stock: Male (% total Population),6.5278,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2010,International migrant stock: Female (% total Population),6.4642,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2015,International migrant stock: Both sexes (number),19880519.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2015,International migrant stock: Both sexes (% total population),6.7795,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2015,International migrant stock: Male (% total Population),6.8151,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2015,International migrant stock: Female (% total Population),6.7479,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2017,International migrant stock: Both sexes (number),20121711.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2017,International migrant stock: Both sexes (% total population),6.8803,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2017,International migrant stock: Male (% total Population),6.9257,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
151,Eastern Europe,2017,International migrant stock: Female (% total Population),6.8399,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2005,International migrant stock: Both sexes (number),9588814.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2005,International migrant stock: Both sexes (% total population),9.9493,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2005,International migrant stock: Male (% total Population),9.6912,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2005,International migrant stock: Female (% total Population),10.2217,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2010,International migrant stock: Both sexes (number),11810676.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2010,International migrant stock: Both sexes (% total population),11.7737,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2010,International migrant stock: Male (% total Population),11.5412,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2010,International migrant stock: Female (% total Population),12.0277,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2015,International migrant stock: Both sexes (number),13188813.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2015,International migrant stock: Both sexes (% total population),12.7926,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2015,International migrant stock: Male (% total Population),12.4930,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2015,International migrant stock: Female (% total Population),13.1158,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2017,International migrant stock: Both sexes (number),13946390.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2017,International migrant stock: Both sexes (% total population),13.3843,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2017,International migrant stock: Male (% total Population),13.0534,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
154,Northern Europe,2017,International migrant stock: Female (% total Population),13.7401,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2005,International migrant stock: Both sexes (number),11974334.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2005,International migrant stock: Both sexes (% total population),7.9621,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2005,International migrant stock: Male (% total Population),7.9277,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2005,International migrant stock: Female (% total Population),8.0097,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2010,International migrant stock: Both sexes (number),16205444.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2010,International migrant stock: Both sexes (% total population),10.5269,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2010,International migrant stock: Male (% total Population),10.4608,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2010,International migrant stock: Female (% total Population),10.6103,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2015,International migrant stock: Both sexes (number),15830496.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2015,International migrant stock: Both sexes (% total population),10.3847,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2015,International migrant stock: Male (% total Population),9.9976,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2015,International migrant stock: Female (% total Population),10.7735,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2017,International migrant stock: Both sexes (number),15957631.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2017,International migrant stock: Both sexes (% total population),10.4992,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2017,International migrant stock: Male (% total Population),10.0897,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
39,Southern Europe,2017,International migrant stock: Female (% total Population),10.9097,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2005,International migrant stock: Both sexes (number),21890740.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2005,International migrant stock: Both sexes (% total population),11.7686,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2005,International migrant stock: Male (% total Population),11.8898,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2005,International migrant stock: Female (% total Population),11.6607,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2010,International migrant stock: Both sexes (number),23604046.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2010,International migrant stock: Both sexes (% total population),12.5309,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2010,International migrant stock: Male (% total Population),12.4402,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2010,International migrant stock: Female (% total Population),12.6280,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2015,International migrant stock: Both sexes (number),25601680.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2015,International migrant stock: Both sexes (% total population),13.3320,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2015,International migrant stock: Male (% total Population),13.2377,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2015,International migrant stock: Female (% total Population),13.4337,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2017,International migrant stock: Both sexes (number),27869485.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2017,International migrant stock: Both sexes (% total population),14.4080,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2017,International migrant stock: Male (% total Population),14.3514,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
155,Western Europe,2017,International migrant stock: Female (% total Population),14.4742,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2005,International migrant stock: Both sexes (number),6023421.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2005,International migrant stock: Both sexes (% total population),17.9441,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2005,International migrant stock: Male (% total Population),17.9253,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2005,International migrant stock: Female (% total Population),18.2349,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2010,International migrant stock: Both sexes (number),7124634.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2010,International migrant stock: Both sexes (% total population),19.4473,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2010,International migrant stock: Male (% total Population),19.3904,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2010,International migrant stock: Female (% total Population),19.7598,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2015,International migrant stock: Both sexes (number),8051745.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2015,International migrant stock: Both sexes (% total population),20.3620,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2015,International migrant stock: Male (% total Population),20.1375,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2015,International migrant stock: Female (% total Population),20.8351,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2015,Total refugees and people in refugee-like situations (number),46963.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2015,"Asylum seekers, including pending cases (number)",24347.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2015,Total population of concern to UNHCR (number),71310.0000,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed March 2019."
9,Oceania,2017,International migrant stock: Both sexes (number),8410933.0000,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2017,International migrant stock: Both sexes (% total population),20.6704,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2017,International migrant stock: Male (% total Population),20.3737,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
9,Oceania,2017,International migrant stock: Female (% total Population),21.2130,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
