X26,Water supply and sanitation services,,,,,
50,Bangladesh,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",32.3394,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2005,"Safely managed drinking water sources, total (Proportion of population with access)",83.8674,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",87.8185,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.4207,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",88.8144,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2010,"Safely managed drinking water sources, total (Proportion of population with access)",90.0546,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",85.8085,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",84.7266,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",85.5344,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2017,"Safely managed drinking water sources, total (Proportion of population with access)",94.5214,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",81.6745,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",76.3754,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
112,Belarus,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",80.5158,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
56,Belgium,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.5232,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
56,Belgium,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",86.9175,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
56,Belgium,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.5232,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
56,Belgium,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",90.2725,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
56,Belgium,2017,"Safely managed drinking water sources, total (Proportion of population with access)",99.5232,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
56,Belgium,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",97.1002,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",48.6678,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",23.6347,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",31.3862,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",48.7724,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",25.5383,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",33.6221,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",48.9188,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",27.6000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
64,Bhutan,2017,"Safely managed drinking water sources, total (Proportion of population with access)",36.1631,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
68,Bolivia (Plurin. State of),2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",17.6375,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
68,Bolivia (Plurin. State of),2005,"Safely managed sanitation facilities, total (Proportion of population with access)",15.0919,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
68,Bolivia (Plurin. State of),2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.2491,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
68,Bolivia (Plurin. State of),2010,"Safely managed sanitation facilities, total (Proportion of population with access)",18.0905,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
68,Bolivia (Plurin. State of),2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",24.6750,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
68,Bolivia (Plurin. State of),2017,"Safely managed sanitation facilities, total (Proportion of population with access)",22.9383,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2005,"Safely managed drinking water sources, total (Proportion of population with access)",87.9548,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",7.2497,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",19.1332,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2010,"Safely managed drinking water sources, total (Proportion of population with access)",88.5367,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",8.5932,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",19.9123,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2017,"Safely managed drinking water sources, total (Proportion of population with access)",88.8419,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",11.2728,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
70,Bosnia and Herzegovina,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",21.5550,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
72,Botswana,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",83.6547,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
72,Botswana,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",83.7359,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
72,Botswana,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",83.2197,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",91.5309,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",29.0627,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",27.6766,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",91.8432,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",36.5074,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",34.8460,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",92.2804,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",51.5951,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
76,Brazil,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",49.2758,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2005,"Safely managed drinking water sources, total (Proportion of population with access)",96.7195,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",55.1831,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",47.5747,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.8310,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.8408,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",51.1676,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2017,"Safely managed drinking water sources, total (Proportion of population with access)",96.9459,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",72.8941,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
100,Bulgaria,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",64.4137,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",47.3078,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",12.5350,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",19.2024,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",51.1692,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",14.2608,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",21.7510,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",56.5750,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2017,"Safely managed drinking water sources, rural (Proportion of population with access)",16.6770,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
116,Cambodia,2017,"Safely managed drinking water sources, total (Proportion of population with access)",25.8456,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.2744,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",78.8695,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",78.7115,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",78.8381,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.5269,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",81.9764,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.5101,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",81.8875,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2017,"Safely managed drinking water sources, total (Proportion of population with access)",98.8609,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",82.2248,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2017,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.3827,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
124,Canada,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",82.0678,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
830,Channel Islands,2010,"Safely managed drinking water sources, total (Proportion of population with access)",91.9750,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
830,Channel Islands,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",90.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
830,Channel Islands,2017,"Safely managed drinking water sources, total (Proportion of population with access)",91.9750,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
830,Channel Islands,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",90.0000,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",98.5318,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2005,"Safely managed drinking water sources, total (Proportion of population with access)",94.3090,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",52.6010,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",53.0946,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",98.6473,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.5540,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",66.6675,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",63.2003,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2017,"Safely managed drinking water sources, urban (Proportion of population with access)",98.6106,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2017,"Safely managed drinking water sources, total (Proportion of population with access)",98.6392,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2017,"Safely managed sanitation facilities, urban (Proportion of population with access)",81.3665,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
152,Chile,2017,"Safely managed sanitation facilities, total (Proportion of population with access)",77.4648,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",93.0448,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.9551,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",28.6608,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",33.8885,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",92.7454,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.3206,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
156,China,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",37.1313,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed May 2019."
